,자치구,대여소ID,대여소번호,대여소명,대여소번호명,거치대수,주소1,주소2,위도,경도,행정동
16,성동구,ST-2326,3544,한양대역 3번 출구,3544.한양대역 3번 출구,10.0,서울특별시 성동구 왕십리로 190-1 디자인노점,,37.55453873,127.04377747,사근동
17,성동구,ST-2327,3545,한양대역 1번출구,3545.한양대역 1번출구,10.0,서울특별시 성동구 행당동 33,,37.55657959,127.04335785,사근동
18,성동구,ST-2329,3547,상왕십리역 6번 출입구,3547.상왕십리역 6번 출입구,12.0,서울특별시 성동구 하왕십리동 903-1,,37.56438065,127.02886963,왕십리2동
19,성동구,ST-2330,3548,뚝섬역 6번출구,3548.뚝섬역 6번출구,10.0,서울특별시 성동구 뚝섬로1길 63 영창디지털타워,,37.54695892,127.04766846,성수1가2동
20,성동구,ST-2331,3549,건영아파트 앞,3549.건영아파트 앞,9.0,서울특별시 성동구 동일로 265 건영아파트상가,,37.55514145,127.07110596,송정동
21,성동구,ST-2332,3550,금호나들목,3550.금호나들목,20.0,서울특별시 성동구 금호로 15 서울숲푸르지오아파트,,37.54404068,127.02320099,금호4가동
22,성동구,ST-2333,3551,성동도로사업소,3551.성동도로사업소,10.0,서울특별시 성동구 자동차시장길 11 대승모터스,,37.55979919,127.05632782,용답동
23,성동구,ST-2334,3552,서울숲 공영주차장앞,3552.서울숲 공영주차장앞,19.0,서울특별시 성동구 성수동1가 719,,37.54195786,127.04277039,성수1가1동
24,성동구,ST-2335,3553,마장역3번출구,3553.마장역3번출구,10.0,서울특별시 성동구 마장로 302,,37.565979,127.04311371,마장동
25,성동구,ST-2337,3555,양지사거리(센트라스APT 115동앞),3555.양지사거리(센트라스APT 115동앞),10.0,서울특별시 성동구 왕십리로 410 센트라스,,37.56681824,127.02915192,왕십리도선동
26,성동구,ST-2338,3556,신금호파크자이APT앞,3556.신금호파크자이APT앞,10.0,서울특별시 성동구 금호동2가 1-5,,37.55610657,127.01978302,
27,성동구,ST-2339,3557,서울숲리버뷰자이APT105동 앞,3557.서울숲리버뷰자이APT105동 앞,8.0,서울특별시 성동구 행당동 379-1,,37.55653,127.03913116,행당1동
28,성동구,ST-234,518,청계천 박물관 앞,518. 청계천 박물관 앞,20.0,서울특별시 성동구 마장동 610,청계천 박물관 앞,37.57152557,127.03535461,마장동
